course_name,course_crn,course_id,course_section,course_pre,course_type,course_time,course_days,course_location,course_dates,course_type2,course_professor
CULTURAL ANTHROPOLOGY,50107,ANTH 001,001,,Lecture,11:00 am - 12:20 pm,MW,Online ONLINE,Apr 03 2023 - Jun 09 2023,Lecture,Worku Nida (P)
CULTURAL ANTHROPOLOGY,50108,ANTH 001,011,,Discussion,8:00 am - 8:50 am,T,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,50109,ANTH 001,012,,Discussion,9:00 am - 9:50 am,T,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,50110,ANTH 001,013,,Discussion,10:00 am - 10:50 am,T,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,50111,ANTH 001,014,,Discussion,2:00 pm - 2:50 pm,M,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,62459,ANTH 001,015,,Discussion,6:00 pm - 6:50 pm,R,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,62460,ANTH 001,016,,Discussion,7:00 pm - 7:50 pm,R,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,62461,ANTH 001,017,,Discussion,3:00 pm - 3:50 pm,M,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,50115,ANTH 001,018,,Discussion,4:00 pm - 4:50 pm,M,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,50116,ANTH 001,019,,Discussion,3:00 pm - 3:50 pm,W,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,50117,ANTH 001,020,,Discussion,5:00 pm - 5:50 pm,M,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,50118,ANTH 001,021,,Discussion,4:00 pm - 4:50 pm,W,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,50119,ANTH 001,022,,Discussion,5:00 pm - 5:50 pm,W,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,50120,ANTH 001,023,,Discussion,6:00 pm - 6:50 pm,M,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,50121,ANTH 001,024,,Discussion,7:00 pm - 7:50 pm,M,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,50122,ANTH 001,025,,Discussion,10:00 am - 10:50 am,F,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,50123,ANTH 001,026,,Discussion,11:00 am - 11:50 am,F,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,50124,ANTH 001,027,,Discussion,5:00 pm - 5:50 pm,R,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,50125,ANTH 001,028,,Discussion,1:00 pm - 1:50 pm,F,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,50126,ANTH 001,029,,Discussion,3:00 pm - 3:50 pm,F,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,50127,ANTH 001,030,,Discussion,4:00 pm - 4:50 pm,F,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
CULTURAL ANTHROPOLOGY,50128,ANTH 001,031,,Discussion,9:00 am - 9:50 am,F,Online ONLINE,Apr 03 2023 - Jun 09 2023,Discussion,TBA
BIOLOGICAL ANTHROPOLOGY,69952,ANTH 002,001,,Lecture,5:00 pm - 6:20 pm,TR,CHASS Interdisciplinary-North 1020,Apr 03 2023 - Jun 09 2023,Lecture,Maureen Louise Hickey (P) Sunshine Garcia Blanco
BIOLOGICAL ANTHROPOLOGY,70491,ANTH 002,021,,Discussion,8:00 am - 8:50 am,T,Gordon Watkins Hall 1117,Apr 03 2023 - Jun 09 2023,Discussion,TBA
BIOLOGICAL ANTHROPOLOGY,70492,ANTH 002,022,,Discussion,9:00 am - 9:50 am,T,Gordon Watkins Hall 1111,Apr 03 2023 - Jun 09 2023,Discussion,TBA
BIOLOGICAL ANTHROPOLOGY,70494,ANTH 002,023,,Discussion,10:00 am - 10:50 am,T,Skye Hall 172,Apr 03 2023 - Jun 09 2023,Discussion,TBA
BIOLOGICAL ANTHROPOLOGY,70495,ANTH 002,024,,Discussion,2:00 pm - 2:50 pm,M,Pierce Hall 2226,Apr 03 2023 - Jun 09 2023,Discussion,Sunshine Garcia Blanco (P)
BIOLOGICAL ANTHROPOLOGY,70496,ANTH 002,025,,Discussion,3:00 pm - 3:50 pm,M,Dundee A1109,Apr 03 2023 - Jun 09 2023,Discussion,Sunshine Garcia Blanco (P)
BIOLOGICAL ANTHROPOLOGY,70497,ANTH 002,026,,Discussion,4:00 pm - 4:50 pm,M,Sproul Hall 2225,Apr 03 2023 - Jun 09 2023,Discussion,Sunshine Garcia Blanco (P)
BIOLOGICAL ANTHROPOLOGY,70499,ANTH 002,027,,Discussion,5:00 pm - 5:50 pm,M,Gordon Watkins Hall 1117,Apr 03 2023 - Jun 09 2023,Discussion,TBA
BIOLOGICAL ANTHROPOLOGY,70500,ANTH 002,028,,Discussion,6:00 pm - 6:50 pm,M,Gordon Watkins Hall 2141,Apr 03 2023 - Jun 09 2023,Discussion,TBA
BIOLOGICAL ANTHROPOLOGY,70502,ANTH 002,029,,Discussion,7:00 pm - 7:50 pm,M,Gordon Watkins Hall 2141,Apr 03 2023 - Jun 09 2023,Discussion,TBA
INTRODUCTION TO ARCHAEOLOGY,71887,ANTH 005,001,,Lecture,9:00 am - 9:50 am,MWF,Materials Sci and Engineering 104,Apr 03 2023 - Jun 09 2023,Lecture,Travis William Stanton (P)
INTRODUCTION TO ARCHAEOLOGY,72160,ANTH 005,021,,Discussion,5:00 pm - 5:50 pm,R,CHASS Interdisciplinary-North 1006,Apr 03 2023 - Jun 09 2023,Discussion,TBA
INTRODUCTION TO ARCHAEOLOGY,72161,ANTH 005,022,,Discussion,6:00 pm - 6:50 pm,R,Sproul Hall 2356,Apr 03 2023 - Jun 09 2023,Discussion,TBA
INTRODUCTION TO ARCHAEOLOGY,72162,ANTH 005,023,,Discussion,7:00 pm - 7:50 pm,R,Gordon Watkins Hall 1117,Apr 03 2023 - Jun 09 2023,Discussion,TBA
INTRODUCTION TO ARCHAEOLOGY,72163,ANTH 005,024,,Discussion,12:00 pm - 12:50 pm,F,CHASS Interdisciplinary-South 2132,Apr 03 2023 - Jun 09 2023,Discussion,TBA
INTRODUCTION TO ARCHAEOLOGY,72164,ANTH 005,025,,Discussion,10:00 am - 10:50 am,F,Sproul Hall 2351,Apr 03 2023 - Jun 09 2023,Discussion,TBA
INTRODUCTION TO ARCHAEOLOGY,72165,ANTH 005,026,,Discussion,11:00 am - 11:50 am,F,CHASS Interdisciplinary-North 1006,Apr 03 2023 - Jun 09 2023,Discussion,TBA
INTRODUCTION TO ARCHAEOLOGY,72166,ANTH 005,027,,Discussion,1:00 pm - 1:50 pm,F,Gordon Watkins Hall 1111,Apr 03 2023 - Jun 09 2023,Discussion,TBA
INTRODUCTION TO ARCHAEOLOGY,72167,ANTH 005,028,,Discussion,3:00 pm - 3:50 pm,F,Sproul Hall 2339,Apr 03 2023 - Jun 09 2023,Discussion,TBA
INTRODUCTION TO ARCHAEOLOGY,72168,ANTH 005,029,,Discussion,4:00 pm - 4:50 pm,F,Gordon Watkins Hall 1111,Apr 03 2023 - Jun 09 2023,Discussion,TBA
INTRODUCTION TO LINGUISTIC ANTHROPOLOGY,66017,ANTH 007S,001,,Lecture,11:00 am - 1:50 pm,F,CHASS Interdisciplinary-North 1002,Apr 03 2023 - Jun 09 2023,Lecture,Hye Jin Nah (P)
INTRODUCTION TO LINGUISTIC ANTHROPOLOGY,68208,ANTH 007S,021,,Discussion,3:00 pm - 3:50 pm,T,Dundee A1109,Apr 03 2023 - Jun 09 2023,Discussion,TBA
INTRODUCTION TO LINGUISTIC ANTHROPOLOGY,68209,ANTH 007S,022,,Discussion,1:00 pm - 1:50 pm,T,Sproul Hall 2365,Apr 03 2023 - Jun 09 2023,Discussion,TBA
INTRODUCTION TO LINGUISTIC ANTHROPOLOGY,68210,ANTH 007S,023,,Discussion,5:00 pm - 5:50 pm,T,Olmsted 420,Apr 03 2023 - Jun 09 2023,Discussion,TBA
INTRO TO VISUAL ANTHROPOLOGY,71892,ANTH 103S,001,ANTH 001/ANTH 001H/ANTH 001W/,Lecture,5:00 pm - 6:20 pm,MW,Gordon Watkins Hall 1101,Apr 03 2023 - Jun 09 2023,Lecture,Christina Lyn Schwenkel (P)
INTRO TO VISUAL ANTHROPOLOGY,72169,ANTH 103S,021,ANTH 001/ANTH 001H/ANTH 001W/,Discussion,11:00 am - 11:50 am,F,Sproul Hall 2356,Apr 03 2023 - Jun 09 2023,Discussion,TBA
INTRO TO VISUAL ANTHROPOLOGY,72170,ANTH 103S,022,ANTH 001/ANTH 001H/ANTH 001W/,Discussion,12:00 pm - 12:50 pm,F,Gordon Watkins Hall 1111,Apr 03 2023 - Jun 09 2023,Discussion,TBA
INTRO TO VISUAL ANTHROPOLOGY,72171,ANTH 103S,023,ANTH 001/ANTH 001H/ANTH 001W/,Discussion,2:00 pm - 2:50 pm,F,Gordon Watkins Hall 1111,Apr 03 2023 - Jun 09 2023,Discussion,TBA
ARCHAEOLOGY OF EASTERN MESOAMERICA,71895,ANTH 115R,001,ANTH 003/ANTH 005/,Lecture,10:00 am - 10:50 am,MWF,Gordon Watkins Hall 1111,Apr 03 2023 - Jun 09 2023,Lecture,Travis William Stanton (P)
LANGUAGE AND CULTURE,70714,ANTH 120,001,ANTH 001/ANTH 001H/ANTH 001W/LING 020/ANTH 007/ANTH 007S/,Lecture,2:00 pm - 4:50 pm,F,Gordon Watkins Hall 1350,Apr 03 2023 - Jun 09 2023,Lecture,Hye Jin Nah (P)
LANGUAGE AND CULTURE,70715,ANTH 120,021,ANTH 001/ANTH 001H/ANTH 001W/LING 020/ANTH 007/ANTH 007S/,Consultation,TBA,,To Be Announced TBA,Apr 03 2023 - Jun 09 2023,Consultation,Hye Jin Nah (P)
ETHNOLOGY GREATER SOUTHWEST,72172,ANTH 140E,001,,Lecture,12:30 pm - 1:50 pm,TR,Gordon Watkins Hall 1350,Apr 03 2023 - Jun 09 2023,Lecture,Karl A. Taube (P)
